Compared Group,Wedge Similarity,Wedge Orientation,Probability of Belonging,N Samples,Total Processed,Is Similar (adaptive),Hydrophobic Angle (°),Charge Angle (°),Specular Reflection,Clifford Distance,Commutator Norm,Anticommutator Sim,Metric Similarity,GP Functional Sim,GP Structural Diff,GP Combined Sim,GP F/S Ratio,GP Interpretation,GP Grade 0 (Functional),GP Grade 2 (Pairs),GP Grade 3 (Triples),GP Grade 4 (Quadruples),GP Full Interpretation,Hodge Complementarity,Grassmann Distance,General Rotation Angle (°),Grassmann Projection,Fubini-Study,Ricci Curvature,Wasserstein Distance,Fractal Dim Diff,Radon Similarity,Laplacian Distance,Entropy Diff,Jensen-Shannon,Gini Diff,Complexity Diff,Modularity Diff,Hellinger,Spearman,Morans I Diff
CPP,0.120522,-1.0,0.994757,100,100,False,26.45,29.44,False,1.958144,0.615711,0.787972,0.946036,0.946036,116056141.312722,116056141.312722,0.0,"Structurally similar, functionally different",0.071043,0.070082,0.170063,0.090418,Strong 3-body cooperativity (protein domains),0.190097,0.615711,38.0,0.615711,0.663288,1.637829,0.13539,0.037602,0.979659,7.139422,0.259256,0.121946,0.103943,0.039086,0.102374,0.298226,0.58131,0.190978
NILE1,0.07323,-1.0,0.5,1,1,False,15.3,30.26,False,2.610527,0.38087,0.924628,0.944303,0.944303,47723365.942304,47723365.942304,0.0,"Structurally similar, functionally different",0.095416,0.050843,0.106969,0.047434,Balanced interactions across all orders,0.14007,0.38087,22.39,0.38087,0.390737,5.893591,0.078534,0.167611,0.987463,15.899089,0.657038,0.08132,0.213996,0.186868,0.004529,0.268636,0.917625,0.060507
NON_CPP,0.071735,-1.0,0.9098,71,71,False,28.51,27.51,False,2.002746,0.414464,0.910066,0.894746,0.894746,66748456.918137,66748456.918137,0.0,"Structurally similar, functionally different",0.068424,0.043978,0.108101,0.032159,Strong 3-body cooperativity (protein domains),0.117156,0.414464,24.49,0.414464,0.427354,4.821391,0.054142,0.037602,0.997949,3.080954,0.055072,0.03397,0.009091,0.018668,0.010517,0.154135,0.862399,0.092834
EBOLA_SUDAN,0.05591,-1.0,0.5,1,1,False,15.98,5.48,False,0.70568,0.28203,0.959405,0.947148,0.947148,25406933.793438,25406933.793438,0.0,"Structurally similar, functionally different",0.072307,0.031577,0.076613,0.023606,Balanced interactions across all orders,0.065843,0.28203,16.38,0.28203,0.28591,11.572106,0.03647,0.037602,0.999711,3.853724,0.190303,0.021236,0.080974,0.032191,0.016474,0.121645,0.903606,0.000723
EBOLA_RESTON,0.051584,-1.0,0.5,1,1,False,16.72,5.48,False,0.702728,0.275478,0.961307,0.947857,0.947857,48758366.226416,48758366.226416,0.0,"Structurally similar, functionally different",0.072633,0.031356,0.074346,0.023191,Balanced interactions across all orders,0.066217,0.275478,15.99,0.275478,0.279087,12.177257,0.040074,0.037602,0.999459,4.202969,0.224377,0.020349,0.090004,0.035598,0.050277,0.119193,0.932253,0.011269
UNFOLDED,0.047046,-1.0,0.980966,106,106,False,12.92,11.98,False,0.642987,0.278506,0.960434,0.962409,0.962409,44691422.621761,44691422.621761,0.0,"Structurally similar, functionally different",0.060269,0.025615,0.047469,0.014509,Balanced interactions across all orders,0.074799,0.278506,16.17,0.278506,0.282239,11.892288,0.066495,0.0,0.999078,6.442145,0.189174,0.017276,0.107008,0.018917,0.127465,0.109702,0.978661,0.079301
JUNV,0.046779,1.0,0.0,3,3,False,2.68,44.77,False,0.811235,0.217612,0.976035,0.974343,0.974343,104966009.352945,104966009.352945,0.0,"Structurally similar, functionally different",0.069956,0.023036,0.057123,0.018218,Balanced interactions across all orders,0.054499,0.217612,12.57,0.217612,0.219368,20.117014,0.025149,0.0,1.0,4.817727,0.110355,0.023986,0.051895,0.011035,0.019352,0.129871,0.837381,0.021521
EBOLA_ZAIRE,0.04537,-1.0,0.5,1,1,False,16.48,13.87,False,1.06018,0.265805,0.964027,0.954628,0.954628,38263740.285146,38263740.285146,0.0,"Structurally similar, functionally different",0.073115,0.029315,0.071586,0.021928,Balanced interactions across all orders,0.075878,0.265805,15.41,0.265805,0.269039,13.153797,0.032043,0.037602,0.999613,2.377048,0.146281,0.015363,0.060012,0.027789,0.083154,0.103399,0.909227,0.010559
LASV,0.042411,-1.0,0.0,4,4,False,15.2,4.25,False,0.57249,0.239268,0.970953,0.961767,0.961767,40084254.267256,40084254.267256,0.0,"Structurally similar, functionally different",0.071713,0.026865,0.062988,0.019593,Balanced interactions across all orders,0.065312,0.239268,13.84,0.239268,0.241612,16.467448,0.032061,0.037602,0.999389,3.955109,0.201623,0.014575,0.084599,0.033323,0.034872,0.100797,0.943341,0.000591
EBOLA_TAI_FOREST,0.041015,-1.0,0.5,1,1,False,11.77,8.46,False,0.820684,0.225039,0.97435,0.967684,0.967684,29025532.659026,29025532.659026,0.0,"Structurally similar, functionally different",0.073013,0.025001,0.058919,0.018889,Balanced interactions across all orders,0.062872,0.225039,13.01,0.225039,0.226983,18.746172,0.027398,0.0,0.999567,2.116608,0.161379,0.012828,0.062927,0.016138,0.023338,0.094436,0.906549,0.000731
