,sudan,zaire,reston,bombali,bundibugyo,tai,lasv,junv,macv,lcmv,nile1,nile2,lujo,PARTIALLY_FOLDED,CPP,NON_CPP,UNFOLDED,REVIEWED_HUMAN,UNREVIEWED_HUMAN,senales,membrana,enfermedad,VIRUS_REVIEWED,VIRUS_UNREVIEWED,REVIEWED_ALL,UNREVIEWED_ALL
sudan,0.0,0.026679786993296536,0.021099698126884454,0.06726279982169747,0.022016132807883507,0.01969196355925104,0.036418237578190835,0.07605037912372914,0.038712671279420595,0.021046565322844456,0.17915204511158517,0.040164969969131666,0.06633087916808363,0.03114172936883134,0.20537757932216158,0.10616307267271964,0.04308338505859373,0.043619511764426605,0.04625064370821698,0.02976495948881153,0.06916808741961257,0.0498598096885209,0.04001778454304499,0.03719819200149332,0.0740245605500261,0.07341753186541379
zaire,0.026679786993296536,0.0,0.0260638687713423,0.0840452023163722,0.03040209004922846,0.03654572371466367,0.03936746901111137,0.09300581436067558,0.04816718097528387,0.022616978807861995,0.17647931311492862,0.06089105155934793,0.07954431018144839,0.03548547384028809,0.18146361753433837,0.08200021054152923,0.03222982286263792,0.0567055348168066,0.06081185032770334,0.030814384875776688,0.08374432520757392,0.06448469215153244,0.05576853359662645,0.05369838796700422,0.08655174823174788,0.0853226242877201
reston,0.021099698126884454,0.0260638687713423,0.0,0.08673077154975431,0.040940087976442,0.03904744378413835,0.015819803682306347,0.09429440054365554,0.04582107110155118,0.02156085275033343,0.2064308797426558,0.048227654118877215,0.07965976988444022,0.035668588529467346,0.1946181388436946,0.08746579072508696,0.028556795438846372,0.06145662277328879,0.0634648992213792,0.046395237025318725,0.08730453921786421,0.06769650039774978,0.05575148402350893,0.053352492067191754,0.09306895299666867,0.09366576815267857
bombali,0.06726279982169747,0.0840452023163722,0.08673077154975431,0.0,0.054260109482141904,0.05121770864763097,0.09863373054378174,0.010180079301718251,0.05242997051943902,0.07248176816380295,0.15222203915093746,0.05320994818992732,0.03139806854645374,0.058443056752988276,0.21922885166146042,0.15320545656176726,0.07731524792833279,0.030313327812786436,0.026770730325806416,0.05605163791028202,0.014651512671280755,0.023288240499191367,0.03435492170469526,0.034572746685790225,0.0170067925802147,0.01713732926585398
bundibugyo,0.022016132807883507,0.03040209004922846,0.040940087976442,0.054260109482141904,0.0,0.010622667369612803,0.05698642208777162,0.0632247821474227,0.03214942151486598,0.025409783288136367,0.16110714573581483,0.044362138307207824,0.054128346195890936,0.027341234626187677,0.19157729306989135,0.10591551733590827,0.039738226100904515,0.02899514665857542,0.03353163622056409,0.010016219230624873,0.055050856461473216,0.03642764214840266,0.030107390005983736,0.028719408708340062,0.05773518099766051,0.056057552751443855
tai,0.01969196355925104,0.03654572371466367,0.03904744378413835,0.05121770864763097,0.010622667369612803,0.0,0.05315347862746707,0.060275454159134476,0.023563565082127296,0.023867871989076958,0.16892819944891446,0.03448999023986947,0.048654805753864154,0.019501952105551175,0.2015861199982517,0.11127091829977044,0.0360966040234611,0.024450615112082696,0.028210484206857518,0.017693245096261516,0.05179729186524936,0.0317814980662493,0.022793951460837604,0.021023280264626583,0.05604301977389824,0.055137968398984036
lasv,0.036418237578190835,0.03936746901111137,0.015819803682306347,0.09863373054378174,0.05698642208777162,0.05315347862746707,0.0,0.10507521101523634,0.05446707728312049,0.03328286606129649,0.2314520710985743,0.052516880807171616,0.08807572531754675,0.046276548314283,0.18665007504702028,0.0787147082779194,0.029256050414051674,0.0742945493994512,0.07530330694172689,0.06217127604659798,0.09838350826709412,0.07965075989294766,0.06677405813230781,0.06461544772063099,0.10540897692646674,0.10715584887125333
junv,0.07605037912372914,0.09300581436067558,0.09429440054365554,0.010180079301718251,0.0632247821474227,0.060275454159134476,0.10507521101523634,0.0,0.059730105300824524,0.0810409273385375,0.1445278190321308,0.058815303444292984,0.03561103648523752,0.06576999252060371,0.228796468164755,0.1622384970998835,0.08565404826021267,0.03830329191691658,0.03426330125437346,0.06487016409295428,0.017015070998571597,0.030721878632311142,0.04194863339591332,0.0420286798744637,0.016951771718740714,0.017588934260017522
macv,0.038712671279420595,0.04816718097528387,0.04582107110155118,0.05242997051943902,0.03214942151486598,0.023563565082127296,0.05446707728312049,0.059730105300824524,0.0,0.028328538827550813,0.18298130968905865,0.023255745963612982,0.03445779961399083,0.017677262440546647,0.18199616337766908,0.10477080097715692,0.031227489657695024,0.02362777675257205,0.024980633982316647,0.030986031740860957,0.04394367838160775,0.02814349107334189,0.018344152084072193,0.019248593457337336,0.050888434728465826,0.05208465714579396
lcmv,0.021046565322844456,0.022616978807861995,0.02156085275033343,0.07248176816380295,0.025409783288136367,0.023867871989076958,0.03328286606129649,0.0810409273385375,0.028328538827550813,0.0,0.18279249188711894,0.04104921520042592,0.06268570402063048,0.015895462051867208,0.18566498168941867,0.08854527785170266,0.013634898141269926,0.043088231608444695,0.046473632319644,0.026481261073364817,0.06991108352072346,0.0504608848895015,0.03974637281148895,0.03832310521842739,0.07448303132969673,0.07428016646881172
